Name,Description,Location,Website,OrgType,PopFocus,,,,,,,,,,,,,,,,,,,,
15 West Coffeehouse,"Part of the AGLY Network, holds meetings and drop-in space for young people. Website and Facebook have updates on activities and events.","Leominster, MA",tinyurl.com/15westcoffee www.facebook.com/groups/178161175276,Youth and Young Adult Community Resources,Youth,,,,,,,,,,,,,,,,,,,,
AGLY Network,"A network of drop-in spaces and meetings for lesbian, gay, bisexual, transgender, queer, questioning, and ally youth all over the state. An updated and full listing is available online.",Statewide – many locations,Updated list can be found at BAGLY.org under “Programs”,Youth and Young Adult Community Resources,Youth,,,,,,,,,,,,,,,,,,,,
Asian Pride at MAP for Health,"Part of the AGLY Network, holds meetings and drop-in space open to young people ages 16-24. Website and Facebook have updates on activities and events.","Boston, MA",mapforhealth.org/programs/asian-pride facebook.com/mapasianpride,Youth and Young Adult Community Resources,Youth,,,,,,,,,,,,,,,,,,,,
BAGLY,"Part of the AGLY Network, holds meetings, drop-in spaces, and open clinic throughout the week. Website and Facebook have updates on activities and events.","Boston, MA",bagly.org facebook.com/bagly,Youth and Young Adult Community Resources,Youth,,,,,,,,,,,,,,,,,,,,
Big Sister Association of Greater Boston,A mentoring organization that works with girls and has done significant work to support LBTQ people who identify as girls.,"Boston, MA",bigsister.org,Youth and Young Adult Community Resources,Youth,,,,,,,,,,,,,,,,,,,,
Boston Area Trans Support (BATS),"A group of trans and gender diverse young adults (teens-mid 30’s) from all around metro Boston, and Eastern Massachusetts.","Cambridge, MA",massbats.org,Youth and Young Adult Community Resources,Youth,,,,,,,,,,,,,,,,,,,,
Boston GLASS,"A drop-in space for youth with behavioral health services, peer support, and educational opportunities, focuses on LGBTQ youth of color ages 13-25. Website and Facebook have updates on activities and events.","75 Amory St., Rear, Jamaica Plain, MA",jri.org www.facebook.com/bostonglass.jri,Youth and Young Adult Community Resources,Youth,,,,,,,,,,,,,,,,,,,,
BrAGLY,"Part of the AGLY Network, holds meetings and drop-in space for young people ages 14-21. Website and Facebook have updates on activities and events.","Brockton, MA",healthimperatives.org/glys/bragly facebook.com/braglypage,Youth and Young Adult Community Resources,Youth,,,,,,,,,,,,,,,,,,,,
Bridge Over Troubled Waters,"Services for homeless and at-risk youth ages 14-24 including counseling, a shelter for young people ages 18-24, and a warming center.","47 West St. Boston, MA 617.423.9575",bridgeotw.org,Youth and Young Adult Community Resources,Youth,,,,,,,,,,,,,,,,,,,,
Camp Aranu’tiq/Harbor Camps,"A summer camp for transgender and gender variant youth with programs for youth ages 8-18, as well as families of all ages.",New Hampshire,camparanutiq.org harborcamps.org,Youth and Young Adult Community Resources,Youth,,,,,,,,,,,,,,,,,,,,
Camp Lightbulb,A summer camp program for LGBTQ and GNC youth ages 14-18.,"Provincetown, MA",camplightbulb.org,Youth and Young Adult Community Resources,Youth,,,,,,,,,,,,,,,,,,,,
Generation Q and TREE,"Part of the AGLY Network, holds meetings and drop-in spaces. Website and Facebook have updates on activities and events.","Northhampton and Greenfield, MA",communityaction.us/youth facebook.com/communityactionyouthprograms,Youth and Young Adult Community Resources,Youth,,,,,,,,,,,,,,,,,,,,
Hispanic Black Gay Coalition,"Leadership development, mentorship, support groups, and community engagement for Black and Latin@/Latinx LGBTQ youth and adults.","25 Kingston St. Boston, MA",hbgc-boston.org,Youth and Young Adult Community Resources,Youth,,,,,,,,,,,,,,,,,,,,
House of Colors/Casa de Colores,"Part of the AGLY Network, holds meetings for young people. Facebook page has updates on activities and events.","Holyoke, MA",facebook.com/house-of-colors,Youth and Young Adult Community Resources,Youth,,,,,,,,,,,,,,,,,,,,
Live Out Loud Youth Project,"Part of the AGLY Network, holds meetings and drop-in spaces. Website and Facebook have updates on activities and events.","Pittsfield, MA",affirmativecounseling.net/liveoutloudyouthgroup.html ,Youth and Young Adult Community Resources,Youth,,,,,,,,,,,,,,,,,,,,
McVAGLY,"Part of the AGLY Network, holds meetings for young people within a flexible range for 15-23. Website and Facebook have updates on activities and events.","North Andover, MA",mcvagly.org facebook.com/mcvagly,Youth and Young Adult Community Resources,Youth,,,,,,,,,,,,,,,,,,,,
More than Words,"Book store, café, and job experiences for youth in the foster care system, court involved, homeless, or out of school.","376 Moody St. Waltham, MA 781.788.0035",mtwyouth.org,Youth and Young Adult Community Resources,Youth,,,,,,,,,,,,,,,,,,,,
